place_id,place,address,lat,lng,place_type,category
55,김천 연화지,경북 김천시 교동 820-2,36.1372368280432,128.093156250795,관광지,"['경치', '자연']"
56,서면포장마차거리,부산 부산진구 부전동 503-15,35.156789983664,129.056416218143,음식점,['맛집']
57,포항 그린로즈 캠핑장,경기 용인시 처인구 원삼면 목신리 866-1,37.1310079226735,127.295714772316,액티비티,"['자연', '휴양']"
58,송도암남공원조개구이,부산 서구 암남동 620-27,35.0628738344953,129.02066488614,음식점,['맛집']
59,능암탄산온천,충북 충주시 앙성면 능암리 산 14,37.0937001752163,127.802173798632,스파,"['힐링', '휴양']"
60,남포동포장마차거리,부산 중구 부평동1가 51-1,35.1006525207055,129.027777381263,음식점,['맛집']
61,하피랜드,경기 화성시 팔탄면 율암리 483-26,37.1685726772365,126.888518355865,찜질방,"['힐링', '오락']"
62,스피드존,강원특별자치도 춘천시 남산면 방하리 454,37.7699938688735,127.545310933417,액티비티,"['액티비티', '오락']"
63,복골온천,강원특별자치도 양양군 강현면 상복리 449,38.1425772819608,128.565527977259,스파,"['힐링', '자연']"
64,청수굴구이,경남 창원시 마산합포구 구산면 반동리 618,35.0863683367401,128.574253026879,음식점,['맛집']
65,대박감자전,강원특별자치도 속초시 중앙동 474-11,38.2039877408455,128.590551593327,음식점,['맛집']
66,오플로우카페,부산 강서구 봉림동 747-68,35.1724954599467,128.901032376242,카페,['카페']
67,기장 해녀촌 전씨아지매,부산 기장군 기장읍 연화리 119-10,35.2183833933929,129.228086151307,음식점,['맛집']
68,솔밭해수방,인천 중구 덕교동 6-20,37.4401694529991,126.430192214639,찜질방,"['휴양', '힐링']"
69,칠성시장포차,대구 북구 칠성동1가,35.8756080393595,128.604264495705,음식점,['맛집']
70,파라다이스씨메르,인천 중구 운서동 2874,37.437412274746,126.455554729128,스파,"['휴양', '액티비티']"
71,스타스파앤휘트니스,서울 금천구 독산동 953,37.4785459548905,126.900571559567,액티비티,"['오락', '힐링']"
72,무주리조트 노천 온천탕,전북특별자치도 무주군 설천면 심곡리 산 43-15,35.8897985848155,127.73138999061,관광지,"['자연', '휴양']"
73,힙지롤,서울 중구 인현동2가 95-5,37.5649809752805,126.995195857867,액티비티,"['오락', '문화']"
74,남포동 포차거리,부산 중구 남포동6가 74-1,35.0977573296053,129.027113771694,음식점,['맛집']
75,포천 산정호수,경기 포천시 영북면 산정리 191-1,38.0685122323278,127.323645835279,관광지,"['자연', '휴양']"
76,대관령눈꽃마을눈썰매장,강원특별자치도 평창군 대관령면 차항리 316,37.7159195337592,128.676798655383,액티비티,"['액티비티', '자연']"
77,가든포차,서울 도봉구 방학동 산 63-1,37.6624058877872,127.023040435435,음식점,['맛집']
78,망덕산,경남 거창군 거창읍 송정리 산 59,35.6684385345246,127.879627458765,관광지,"['경치', '자연']"
79,동해산타열차,강원특별자치도 강릉시 교동 95-10,37.7645195812136,128.899617238918,관광지,"['경치', '바다']"
80,군불로찜질방,경북 청도군 각북면 남산리 1329-3,35.6904838909785,128.572020271728,찜질방,"['휴양', '오락']"
81,운무캠핑장,경북 고령군 덕곡면 노리 584-1,35.7884106640752,128.193080557703,액티비티,"['산', '자연']"
82,피나클랜드 수목원,충남 아산시 영인면 월선리 346-2,36.8724704218519,126.926329390587,관광지,"['자연', '액티비티']"
83,홍성 글로벌 바베큐 페스티벌,충남 홍성군 홍성읍 오관리 412-6,36.5997000883381,126.661146205212,액티비티,"['오락', '문화']"
84,어름박골 캠핑장,경기 이천시 마장면 오천리 175-1,37.2377115206513,127.351154052643,액티비티,"['자연', '힐링']"
85,9.81파크,제주특별자치도 제주시 애월읍 어음리 3916,33.3901019408173,126.366630862509,액티비티,"['액티비티', '오락']"
86,독산해수욕장,충남 보령시 웅천읍,36.2317710847342,126.60115837838,관광지,"['바다', '자연']"
87,캠프해놀,충남 태안군 원북면 황촌리 800-122,36.8873191460121,126.200997270995,액티비티,"['바다', '힐링']"
